"name","email","tournament","round","events"
"Naman Singh","naman@yopmail.com",,,"[{""eventId"":""994757"",""raceName"":""17:00 Dundalk"",""horseName"":""Adams Barbour"",""jockeyName"":""C D Hayes""},{""eventId"":""994756"",""raceName"":""17:30 Dundalk"",""horseName"":""War Hero"",""jockeyName"":""J J G Ryan""}]"
"undefined undefined",,,,"[{""eventId"":""994757"",""raceName"":""17:00 Dundalk"",""horseName"":""Adams Barbour"",""jockeyName"":""C D Hayes""},{""eventId"":""994756"",""raceName"":""17:30 Dundalk"",""horseName"":""House Of Kings"",""jockeyName"":""S Foley""}]"
"undefined undefined",,"BigWinner","Round1","[{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Red Vision"",""jockeyName"":""B S Hughes""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Caddyhill"",""jockeyName"":""Sean Quinlan""}]"
"undefined undefined",,"BigWinner","Round1","[{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Cliffs Of Dooneen"",""jockeyName"":""Craig Nichol""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Bulldoze"",""jockeyName"":""A P Cawley""}]"
"Jack John","jack@yopmail.com","BigWinner","Round1","[{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Cornell"",""jockeyName"":""Callum Bewley""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Caddyhill"",""jockeyName"":""Sean Quinlan""}]"
"Jack John","jack@yopmail.com","BigWinner","Round2","[{""eventId"":""994818"",""raceName"":""13:30 Huntingdon"",""horseName"":""Catlow"",""jockeyName"":""J M Davies""},{""eventId"":""994819"",""raceName"":""14:05 Huntingdon"",""horseName"":""Nyoufsea"",""jockeyName"":""Alison Johnson""}]"
"undefined undefined",,"BigWinner","Round2","[{""eventId"":""994818"",""raceName"":""13:30 Huntingdon"",""horseName"":""Our Idic Boy"",""jockeyName"":""C J Todd""},{""eventId"":""994819"",""raceName"":""14:05 Huntingdon"",""horseName"":""Out The Glen"",""jockeyName"":""Lewis Stones""}]"
"undefined undefined",,"BigWinner","Round2","[{""eventId"":""994818"",""raceName"":""13:30 Huntingdon"",""horseName"":""Thais Toir"",""jockeyName"":""David Noonan""},{""eventId"":""994819"",""raceName"":""14:05 Huntingdon"",""horseName"":""On The Rise"",""jockeyName"":""David Noonan""}]"
"undefined undefined",,"Winner Tournament","Round 1","[{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Red Vision"",""jockeyName"":""B S Hughes""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""Igraine"",""jockeyName"":""J J Slevin""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Away At Dawn"",""jockeyName"":""B S Hughes""},{""eventId"":""994828"",""raceName"":""16:35 Chepstow"",""horseName"":""Away At Dawn"",""jockeyName"":""B S Hughes""},{""eventId"":""994827"",""raceName"":""17:05 Chepstow"",""horseName"":""Moveit Like Minnie"",""jockeyName"":""J Nailor""}]"
"Naman Singh","naman@yopmail.com","Winner Tournament","Round 1","[{""eventId"":""994829"",""raceName"":""14:12 Sedgefield"",""horseName"":""Robert Johnson"",""jockeyName"":""Thomas Dowson""},{""eventId"":""994752"",""raceName"":""14:20 Cork"",""horseName"":""Only Sky"",""jockeyName"":""R M Power""},{""eventId"":""994826"",""raceName"":""14:47 Sedgefield"",""horseName"":""Only Sky"",""jockeyName"":""R M Power""},{""eventId"":""994828"",""raceName"":""16:35 Chepstow"",""horseName"":""Stanley Pincombe"",""jockeyName"":""Joshua Moore""},{""eventId"":""994827"",""raceName"":""17:05 Chepstow"",""horseName"":""Anubhuti"",""jockeyName"":""Tom Cannon""}]"
